repo,ref,file,class_id,scope,severity,confidence_score,confidence_tier,actionability,gate_status,gate_reason
starknet-io/tokei,cae302b53bd347550700e24722c9663d706a6401,src/core/lockup_linear.cairo,CRITICAL_ADDRESS_INIT_WITHOUT_NONZERO_GUARD,prod_scan,medium,100,high,actionable,pass,
starknet-io/tokei,cae302b53bd347550700e24722c9663d706a6401,src/core/lockup_linear.cairo,PRECISION_LOSS,prod_scan,high,100,high,actionable,pass,
starknet-io/tokei,cae302b53bd347550700e24722c9663d706a6401,src/core/lockup_linear.cairo,UNSAFE_ADMIN_TRANSFER,prod_scan,high,75,medium,actionable,pass,
starknet-io/tokei,cae302b53bd347550700e24722c9663d706a6401,src/core/lockup_linear.cairo,STALE_STATE_WRITE,prod_scan,high,100,high,actionable,pass,
starknet-io/tokei,cae302b53bd347550700e24722c9663d706a6401,src/core/lockup_linear.cairo,UNEXPECTED_ACCESS_CONTROL,prod_scan,medium,100,high,actionable,pass,
starknet-io/tokei,cae302b53bd347550700e24722c9663d706a6401,src/core/lockup_linear.cairo,MISSING_FEE_BOUNDS,prod_scan,medium,100,high,actionable,pass,
starknet-io/tokei,cae302b53bd347550700e24722c9663d706a6401,src/core/lockup_linear.cairo,UNBOUNDED_LOOP,prod_scan,low,80,medium,actionable,pass,
starknet-io/tokei,cae302b53bd347550700e24722c9663d706a6401,src/libraries/helpers.cairo,OVERLY_RESTRICTIVE_VALIDATION,prod_scan,low,80,medium,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/bank/bank.cairo,COMMENTED_OUT_ACCESS_CONTROL,prod_scan,high,75,medium,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/bank/bank.cairo,UNPROTECTED_INITIALIZER,prod_scan,high,75,medium,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/exchange/base_order_handler.cairo,UNPROTECTED_INITIALIZER,prod_scan,high,75,medium,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/fee/fee_handler.cairo,UNPROTECTED_INITIALIZER,prod_scan,high,75,medium,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/oracle/oracle.cairo,UNVALIDATED_ORACLE_PRICES,prod_scan,high,75,medium,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/oracle/oracle.cairo,WRONG_PARAMETER_USAGE,prod_scan,high,100,high,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/oracle/oracle.cairo,SILENT_NO_OP,prod_scan,high,100,high,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/oracle/oracle.cairo,UNPROTECTED_INITIALIZER,prod_scan,high,75,medium,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/oracle/oracle.cairo,UNSAFE_TYPE_CONVERSION,prod_scan,high,100,high,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/oracle/oracle.cairo,INCORRECT_LIST_REMOVAL,prod_scan,medium,100,high,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/oracle/oracle.cairo,STALE_SNAPSHOT_READ,prod_scan,medium,80,medium,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/oracle/oracle_store.cairo,UNPROTECTED_INITIALIZER,prod_scan,high,75,medium,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/role/role_store.cairo,CRITICAL_ADDRESS_INIT_WITHOUT_NONZERO_GUARD,prod_scan,medium,100,high,actionable,pass,
keep-starknet-strange/satoru,6b6514c2abc85f6f8b4e343a4d32d389a70e9221,src/role/role_store.cairo,IRREVOCABLE_ADMIN,prod_scan,low,75,medium,actionable,pass,
